"Nom","Description synopsis","Nom Saison","Titre Épisode","Description Épisode","Durée","Épisodes Inclus","Nom Fichier Image"
"Black Lagoon","Henshū - Okajima Rokuro est un jeune diplômé qui mène une vie morose depuis qu'il a intégré une grande firme japonaise. Sa triste existence va brusquement être bouleversée lorsqu'il va être pris en otage par une bande de pirates des mers venus lui dérober un disque au contenu douteux. D'abord malmené par Levi, la tête brulée du groupe, puis trahi par ses employeurs, Rokuro va se montrer plus casse-cou qu'il en a l'air et prendre goût à cette vie de mercenaires rythmée par les montées d'adrénaline. C'est ainsi que sous le surnom Rock, notre héros va rejoindre Dutch, Levi et Benny trois pirates des temps modernes.","Film / Arc Unique","La Résurrection de l'Aigle","Lors d'une mission de sauvetage d'un tableau de grande valeur enfoui dans une épave de sous-marin, le Black Lagoon est attaqué par une bande de néonazis.","01h22","4 - 7","33_Black Lagoon_La Résurrection de l_Aigle.webp"
"Black Lagoon","Henshū - Okajima Rokuro est un jeune diplômé qui mène une vie morose depuis qu'il a intégré une grande firme japonaise. Sa triste existence va brusquement être bouleversée lorsqu'il va être pris en otage par une bande de pirates des mers venus lui dérober un disque au contenu douteux. D'abord malmené par Levi, la tête brulée du groupe, puis trahi par ses employeurs, Rokuro va se montrer plus casse-cou qu'il en a l'air et prendre goût à cette vie de mercenaires rythmée par les montées d'adrénaline. C'est ainsi que sous le surnom Rock, notre héros va rejoindre Dutch, Levi et Benny trois pirates des temps modernes.","Film / Arc Unique","Rasta Blasta","L'équipage du Black Lagoon doit livrer un otage à un cartel colombien, mais Dutch est soudain pris de remords quand il découvre l'identité du jeune garçon.","00h57","8 - 10","33_Black Lagoon_Rasta Blasta.webp"
"Black Lagoon","Henshū - Okajima Rokuro est un jeune diplômé qui mène une vie morose depuis qu'il a intégré une grande firme japonaise. Sa triste existence va brusquement être bouleversée lorsqu'il va être pris en otage par une bande de pirates des mers venus lui dérober un disque au contenu douteux. D'abord malmené par Levi, la tête brulée du groupe, puis trahi par ses employeurs, Rokuro va se montrer plus casse-cou qu'il en a l'air et prendre goût à cette vie de mercenaires rythmée par les montées d'adrénaline. C'est ainsi que sous le surnom Rock, notre héros va rejoindre Dutch, Levi et Benny trois pirates des temps modernes.","Film / Arc Unique","Révolution ciblée","En transportant des informations sensibles à la CIA, l'équipage du Black Lagoon subit l'attaque d'un groupe de terroristes.","00h42","11 - 12","33_Black Lagoon_Révolution ciblée.webp"
"Black Lagoon","Henshū - Okajima Rokuro est un jeune diplômé qui mène une vie morose depuis qu'il a intégré une grande firme japonaise. Sa triste existence va brusquement être bouleversée lorsqu'il va être pris en otage par une bande de pirates des mers venus lui dérober un disque au contenu douteux. D'abord malmené par Levi, la tête brulée du groupe, puis trahi par ses employeurs, Rokuro va se montrer plus casse-cou qu'il en a l'air et prendre goût à cette vie de mercenaires rythmée par les montées d'adrénaline. C'est ainsi que sous le surnom Rock, notre héros va rejoindre Dutch, Levi et Benny trois pirates des temps modernes.","Film / Arc Unique","Les Jumeaux Vampires","Les barons du crime se réunissent après une série de meurtres visant l'Hôtel de Moscou dont sont accusés de jeunes jumeaux.","01h03","13 - 15","33_Black Lagoon_Les Jumeaux Vampires.webp"
"Black Lagoon","Henshū - Okajima Rokuro est un jeune diplômé qui mène une vie morose depuis qu'il a intégré une grande firme japonaise. Sa triste existence va brusquement être bouleversée lorsqu'il va être pris en otage par une bande de pirates des mers venus lui dérober un disque au contenu douteux. D'abord malmené par Levi, la tête brulée du groupe, puis trahi par ses employeurs, Rokuro va se montrer plus casse-cou qu'il en a l'air et prendre goût à cette vie de mercenaires rythmée par les montées d'adrénaline. C'est ainsi que sous le surnom Rock, notre héros va rejoindre Dutch, Levi et Benny trois pirates des temps modernes.","Film / Arc Unique","Jane","La mafia de Floride et plusieurs chasseurs de primes font une descente à l'Église de la Violence dans le but de coincer une faussaire américaine.","01h01","16 - 18","33_Black Lagoon_Jane.webp"
"Black Lagoon","Henshū - Okajima Rokuro est un jeune diplômé qui mène une vie morose depuis qu'il a intégré une grande firme japonaise. Sa triste existence va brusquement être bouleversée lorsqu'il va être pris en otage par une bande de pirates des mers venus lui dérober un disque au contenu douteux. D'abord malmené par Levi, la tête brulée du groupe, puis trahi par ses employeurs, Rokuro va se montrer plus casse-cou qu'il en a l'air et prendre goût à cette vie de mercenaires rythmée par les montées d'adrénaline. C'est ainsi que sous le surnom Rock, notre héros va rejoindre Dutch, Levi et Benny trois pirates des temps modernes.","Film / Arc Unique","Yukio","Rock et Revy accompagnent Balalaika au Japon où ils tentent d'arrêter un gang de Yakuza à la demande d'un autre.","02h04","19 - 24","33_Black Lagoon_Yukio.webp"
"Black Lagoon","Henshū - Okajima Rokuro est un jeune diplômé qui mène une vie morose depuis qu'il a intégré une grande firme japonaise. Sa triste existence va brusquement être bouleversée lorsqu'il va être pris en otage par une bande de pirates des mers venus lui dérober un disque au contenu douteux. D'abord malmené par Levi, la tête brulée du groupe, puis trahi par ses employeurs, Rokuro va se montrer plus casse-cou qu'il en a l'air et prendre goût à cette vie de mercenaires rythmée par les montées d'adrénaline. C'est ainsi que sous le surnom Rock, notre héros va rejoindre Dutch, Levi et Benny trois pirates des temps modernes.","Film / Arc Unique","Roberta furie sanguinaire","Dans la ville de Roanapur, le nouveau chef de famille des Lovelace fait une proposition à Rock et à la compagnie tandis que Roberta cherche à se procurer des armes.","02h34","OAV 1 - 5","33_Black Lagoon_Roberta furie sanguinaire.webp"
"Hunter x Hunter (2011)","Kaï - Le jeune Gon vit sur une petite île avec sa tante. Abandonné par son père qui est un Hunter, à la fois un aventurier et un chasseur de primes, Gon décide à l'âge de 12 ans de partir pour devenir un Hunter.
Cela ne sera pas chose aisée, il devra passer une suite de tests et examens en compagnie de milliers d'autres prétendants au titre de Hunter.
Il sera aidé par de nouvelles connaissances qui aspirent au même but que lui tel que Kurapika, Leorio et Killua.","Examen Hunter","Devenir Hunter","","1:44:26","","34_Hunter x Hunter (2011)_Devenir Hunter.webp"
"Hunter x Hunter (2011)","Kaï - Le jeune Gon vit sur une petite île avec sa tante. Abandonné par son père qui est un Hunter, à la fois un aventurier et un chasseur de primes, Gon décide à l'âge de 12 ans de partir pour devenir un Hunter.
Cela ne sera pas chose aisée, il devra passer une suite de tests et examens en compagnie de milliers d'autres prétendants au titre de Hunter.
Il sera aidé par de nouvelles connaissances qui aspirent au même but que lui tel que Kurapika, Leorio et Killua.","Examen Hunter","La Tour aux Astuces","","1:36:04","","34_Hunter x Hunter (2011)_La Tour aux Astuces.webp"
"Hunter x Hunter (2011)","Kaï - Le jeune Gon vit sur une petite île avec sa tante. Abandonné par son père qui est un Hunter, à la fois un aventurier et un chasseur de primes, Gon décide à l'âge de 12 ans de partir pour devenir un Hunter.
Cela ne sera pas chose aisée, il devra passer une suite de tests et examens en compagnie de milliers d'autres prétendants au titre de Hunter.
Il sera aidé par de nouvelles connaissances qui aspirent au même but que lui tel que Kurapika, Leorio et Killua.","Examen Hunter","Chasseurs et Proies","","1:29:21","","34_Hunter x Hunter (2011)_Chasseurs et Proies.webp"
"Hunter x Hunter (2011)","Kaï - Le jeune Gon vit sur une petite île avec sa tante. Abandonné par son père qui est un Hunter, à la fois un aventurier et un chasseur de primes, Gon décide à l'âge de 12 ans de partir pour devenir un Hunter.
Cela ne sera pas chose aisée, il devra passer une suite de tests et examens en compagnie de milliers d'autres prétendants au titre de Hunter.
Il sera aidé par de nouvelles connaissances qui aspirent au même but que lui tel que Kurapika, Leorio et Killua.","Examen Hunter","La Famille Zoldik","","1:53:34","","34_Hunter x Hunter (2011)_La Famille Zoldik.webp"
"Hunter x Hunter (2011)","Kaï - Le jeune Gon vit sur une petite île avec sa tante. Abandonné par son père qui est un Hunter, à la fois un aventurier et un chasseur de primes, Gon décide à l'âge de 12 ans de partir pour devenir un Hunter.
Cela ne sera pas chose aisée, il devra passer une suite de tests et examens en compagnie de milliers d'autres prétendants au titre de Hunter.
Il sera aidé par de nouvelles connaissances qui aspirent au même but que lui tel que Kurapika, Leorio et Killua.","Tour Céleste","La Tour Céleste","","2:57:59","","34_Hunter x Hunter (2011)_La Tour Céleste.webp"
"Hunter x Hunter (2011)","Kaï - Le jeune Gon vit sur une petite île avec sa tante. Abandonné par son père qui est un Hunter, à la fois un aventurier et un chasseur de primes, Gon décide à l'âge de 12 ans de partir pour devenir un Hunter.
Cela ne sera pas chose aisée, il devra passer une suite de tests et examens en compagnie de milliers d'autres prétendants au titre de Hunter.
Il sera aidé par de nouvelles connaissances qui aspirent au même but que lui tel que Kurapika, Leorio et Killua.","York Shin City","La Brigade Fantôme","","1:29:03","","34_Hunter x Hunter (2011)_La Brigade Fantôme.webp"
"Hunter x Hunter (2011)","Kaï - Le jeune Gon vit sur une petite île avec sa tante. Abandonné par son père qui est un Hunter, à la fois un aventurier et un chasseur de primes, Gon décide à l'âge de 12 ans de partir pour devenir un Hunter.
Cela ne sera pas chose aisée, il devra passer une suite de tests et examens en compagnie de milliers d'autres prétendants au titre de Hunter.
Il sera aidé par de nouvelles connaissances qui aspirent au même but que lui tel que Kurapika, Leorio et Killua.","York Shin City","Requiem","","2:46:25","","34_Hunter x Hunter (2011)_Requiem.webp"
"Hunter x Hunter (2011)","Kaï - Le jeune Gon vit sur une petite île avec sa tante. Abandonné par son père qui est un Hunter, à la fois un aventurier et un chasseur de primes, Gon décide à l'âge de 12 ans de partir pour devenir un Hunter.
Cela ne sera pas chose aisée, il devra passer une suite de tests et examens en compagnie de milliers d'autres prétendants au titre de Hunter.
Il sera aidé par de nouvelles connaissances qui aspirent au même but que lui tel que Kurapika, Leorio et Killua.","York Shin City","La Tête de l'Araignée","","2:30:56","","34_Hunter x Hunter (2011)_La Tête de l_Araignée.webp"
"Hunter x Hunter (2011)","Kaï - Le jeune Gon vit sur une petite île avec sa tante. Abandonné par son père qui est un Hunter, à la fois un aventurier et un chasseur de primes, Gon décide à l'âge de 12 ans de partir pour devenir un Hunter.
Cela ne sera pas chose aisée, il devra passer une suite de tests et examens en compagnie de milliers d'autres prétendants au titre de Hunter.
Il sera aidé par de nouvelles connaissances qui aspirent au même but que lui tel que Kurapika, Leorio et Killua.","Greed Island","Le Jeu Légendaire","","2:36:10","","34_Hunter x Hunter (2011)_Le Jeu Légendaire.webp"
"Hunter x Hunter (2011)","Kaï - Le jeune Gon vit sur une petite île avec sa tante. Abandonné par son père qui est un Hunter, à la fois un aventurier et un chasseur de primes, Gon décide à l'âge de 12 ans de partir pour devenir un Hunter.
Cela ne sera pas chose aisée, il devra passer une suite de tests et examens en compagnie de milliers d'autres prétendants au titre de Hunter.
Il sera aidé par de nouvelles connaissances qui aspirent au même but que lui tel que Kurapika, Leorio et Killua.","Greed Island","Lutte de Clans","","2:34:50","","34_Hunter x Hunter (2011)_Lutte de Clans.webp"
"Hunter x Hunter (2011)","Kaï - Le jeune Gon vit sur une petite île avec sa tante. Abandonné par son père qui est un Hunter, à la fois un aventurier et un chasseur de primes, Gon décide à l'âge de 12 ans de partir pour devenir un Hunter.
Cela ne sera pas chose aisée, il devra passer une suite de tests et examens en compagnie de milliers d'autres prétendants au titre de Hunter.
Il sera aidé par de nouvelles connaissances qui aspirent au même but que lui tel que Kurapika, Leorio et Killua.","Kimera Ants","Kaito","","1:58:14","","34_Hunter x Hunter (2011)_Kaito.webp"
"Hunter x Hunter (2011)","Kaï - Le jeune Gon vit sur une petite île avec sa tante. Abandonné par son père qui est un Hunter, à la fois un aventurier et un chasseur de primes, Gon décide à l'âge de 12 ans de partir pour devenir un Hunter.
Cela ne sera pas chose aisée, il devra passer une suite de tests et examens en compagnie de milliers d'autres prétendants au titre de Hunter.
Il sera aidé par de nouvelles connaissances qui aspirent au même but que lui tel que Kurapika, Leorio et Killua.","Kimera Ants","Faibles et Puissants","","2:08:39","","34_Hunter x Hunter (2011)_Faibles et Puissants.webp"
"Hunter x Hunter (2011)","Kaï - Le jeune Gon vit sur une petite île avec sa tante. Abandonné par son père qui est un Hunter, à la fois un aventurier et un chasseur de primes, Gon décide à l'âge de 12 ans de partir pour devenir un Hunter.
Cela ne sera pas chose aisée, il devra passer une suite de tests et examens en compagnie de milliers d'autres prétendants au titre de Hunter.
Il sera aidé par de nouvelles connaissances qui aspirent au même but que lui tel que Kurapika, Leorio et Killua.","Kimera Ants","Le Roi du Monde","","1:38:42","","34_Hunter x Hunter (2011)_Le Roi du Monde.webp"
"Hunter x Hunter (2011)","Kaï - Le jeune Gon vit sur une petite île avec sa tante. Abandonné par son père qui est un Hunter, à la fois un aventurier et un chasseur de primes, Gon décide à l'âge de 12 ans de partir pour devenir un Hunter.
Cela ne sera pas chose aisée, il devra passer une suite de tests et examens en compagnie de milliers d'autres prétendants au titre de Hunter.
Il sera aidé par de nouvelles connaissances qui aspirent au même but que lui tel que Kurapika, Leorio et Killua.","Kimera Ants","Jeux de Guerre","","2:14:22","","34_Hunter x Hunter (2011)_Jeux de Guerre.webp"
"Hunter x Hunter (2011)","Kaï - Le jeune Gon vit sur une petite île avec sa tante. Abandonné par son père qui est un Hunter, à la fois un aventurier et un chasseur de primes, Gon décide à l'âge de 12 ans de partir pour devenir un Hunter.
Cela ne sera pas chose aisée, il devra passer une suite de tests et examens en compagnie de milliers d'autres prétendants au titre de Hunter.
Il sera aidé par de nouvelles connaissances qui aspirent au même but que lui tel que Kurapika, Leorio et Killua.","Kimera Ants","Infiltration","","1:53:29","","34_Hunter x Hunter (2011)_Infiltration.webp"
"Hunter x Hunter (2011)","Kaï - Le jeune Gon vit sur une petite île avec sa tante. Abandonné par son père qui est un Hunter, à la fois un aventurier et un chasseur de primes, Gon décide à l'âge de 12 ans de partir pour devenir un Hunter.
Cela ne sera pas chose aisée, il devra passer une suite de tests et examens en compagnie de milliers d'autres prétendants au titre de Hunter.
Il sera aidé par de nouvelles connaissances qui aspirent au même but que lui tel que Kurapika, Leorio et Killua.","Kimera Ants","Assaut (Acte I)","","1:55:49","","34_Hunter x Hunter (2011)_Assaut _Acte I_.webp"
"Hunter x Hunter (2011)","Kaï - Le jeune Gon vit sur une petite île avec sa tante. Abandonné par son père qui est un Hunter, à la fois un aventurier et un chasseur de primes, Gon décide à l'âge de 12 ans de partir pour devenir un Hunter.
Cela ne sera pas chose aisée, il devra passer une suite de tests et examens en compagnie de milliers d'autres prétendants au titre de Hunter.
Il sera aidé par de nouvelles connaissances qui aspirent au même but que lui tel que Kurapika, Leorio et Killua.","Kimera Ants","Assaut (Acte II)","","2:06:00","","34_Hunter x Hunter (2011)_Assaut _Acte II_.webp"
"Hunter x Hunter (2011)","Kaï - Le jeune Gon vit sur une petite île avec sa tante. Abandonné par son père qui est un Hunter, à la fois un aventurier et un chasseur de primes, Gon décide à l'âge de 12 ans de partir pour devenir un Hunter.
Cela ne sera pas chose aisée, il devra passer une suite de tests et examens en compagnie de milliers d'autres prétendants au titre de Hunter.
Il sera aidé par de nouvelles connaissances qui aspirent au même but que lui tel que Kurapika, Leorio et Killua.","Kimera Ants","Assaut (Acte III)","","2:09:39","","34_Hunter x Hunter (2011)_Assaut _Acte III_.webp"
"Hunter x Hunter (2011)","Kaï - Le jeune Gon vit sur une petite île avec sa tante. Abandonné par son père qui est un Hunter, à la fois un aventurier et un chasseur de primes, Gon décide à l'âge de 12 ans de partir pour devenir un Hunter.
Cela ne sera pas chose aisée, il devra passer une suite de tests et examens en compagnie de milliers d'autres prétendants au titre de Hunter.
Il sera aidé par de nouvelles connaissances qui aspirent au même but que lui tel que Kurapika, Leorio et Killua.","Kimera Ants","La Pire des Bêtes","","1:34:08","","34_Hunter x Hunter (2011)_La Pire des Bêtes.webp"
"Hunter x Hunter (2011)","Kaï - Le jeune Gon vit sur une petite île avec sa tante. Abandonné par son père qui est un Hunter, à la fois un aventurier et un chasseur de primes, Gon décide à l'âge de 12 ans de partir pour devenir un Hunter.
Cela ne sera pas chose aisée, il devra passer une suite de tests et examens en compagnie de milliers d'autres prétendants au titre de Hunter.
Il sera aidé par de nouvelles connaissances qui aspirent au même but que lui tel que Kurapika, Leorio et Killua.","Élections","Les Douze du Zodiaque","","2:12:43","","34_Hunter x Hunter (2011)_Les Douze du Zodiaque.webp"
"Hunter x Hunter (2011)","Kaï - Le jeune Gon vit sur une petite île avec sa tante. Abandonné par son père qui est un Hunter, à la fois un aventurier et un chasseur de primes, Gon décide à l'âge de 12 ans de partir pour devenir un Hunter.
Cela ne sera pas chose aisée, il devra passer une suite de tests et examens en compagnie de milliers d'autres prétendants au titre de Hunter.
Il sera aidé par de nouvelles connaissances qui aspirent au même but que lui tel que Kurapika, Leorio et Killua.","Élections","Un Vaste Monde","","1:37:52","","34_Hunter x Hunter (2011)_Un Vaste Monde.webp"
"Naruto Shippuden","Yabaï puis Kaï - L'histoire de Naruto Shippuden se déroule deux ans et demie après le départ de Naruto à Konoha. On y retrouve tous les personnages plus mûrs et plus âgés.
L'intrigue tourne autour des aventures de Naruto et Sakura à la recherche de Sasuke, parti de Konoha pour acquérir de nouveaux pouvoirs, mais on y découvre aussi les objectifs de l'Akatsuki.","Capture d'Ichibi","Le retour au pays","Après deux ans et demi d'absence, Naruto, accompagné de son parrain Jiraya, rentre à Konoha. Il a beaucoup grandi et est aussi devenu beaucoup plus fort qu'avant. Ses retrouvailles avec Sakura deviennent, à la fois, touchantes et comiques : celle-ci s'aperçoit que son camarade a évolué physiquement, mais pas mentalement, se comportant toujours comme un enfant en sa présence. Pour les mettre à l'épreuve, Tsunade leur fait combattre un adversaire du village.","02:17:43","1 - 12","36_Naruto Shippuden_Le retour au pays.webp"
"Naruto Shippuden","Yabaï puis Kaï - L'histoire de Naruto Shippuden se déroule deux ans et demie après le départ de Naruto à Konoha. On y retrouve tous les personnages plus mûrs et plus âgés.
L'intrigue tourne autour des aventures de Naruto et Sakura à la recherche de Sasuke, parti de Konoha pour acquérir de nouveaux pouvoirs, mais on y découvre aussi les objectifs de l'Akatsuki.","Capture d'Ichibi","Le Réceptacle","Naruto essaie d'arrêter le flux de son propre chakra pour dissiper l'illusion d'Itachi, mais n'y arrive pas et se retrouve coincé. Les visages de Sasuke, Sakura, Kakashi et Gaara apparaissent sur son corps, le poussant à s'auto-suicider, mais Sakura et Chiyo l'aident à dissiper l'illusion. Pendant ce temps, Gaï est en difficulté face à Kisame, et a du mal à lui tenir tête. N'ayant plus le choix, il ouvre les 6 portes célestes pour contre-attaquer.","01:56:11","13 - 22","36_Naruto Shippuden_Le Réceptacle.webp"
"Naruto Shippuden","Yabaï puis Kaï - L'histoire de Naruto Shippuden se déroule deux ans et demie après le départ de Naruto à Konoha. On y retrouve tous les personnages plus mûrs et plus âgés.
L'intrigue tourne autour des aventures de Naruto et Sakura à la recherche de Sasuke, parti de Konoha pour acquérir de nouveaux pouvoirs, mais on y découvre aussi les objectifs de l'Akatsuki.","Capture d'Ichibi","Rêve inaccompli","L'équipe de Gaï continue de combattre leurs doubles, mais a de plus en plus de mal à tenir tête à leurs adversaires, car les quatre membres s'épuisent au fur et à mesure. Les jutsu à base de limaille de fer du 3e Kazekage bloque les marionnettes de Chiyo. Flashback sur le passé de Sasori et la création de ses 2 premières marionnettes à l'effigie de ses parents morts au combat. Sakura, dirigée par Chiyo évite les colonnes de sable ferreux de Sasori.","01:50:52","22 - 32","36_Naruto Shippuden_Rêve inaccompli.webp"
"Naruto Shippuden","Yabaï puis Kaï - L'histoire de Naruto Shippuden se déroule deux ans et demie après le départ de Naruto à Konoha. On y retrouve tous les personnages plus mûrs et plus âgés.
L'intrigue tourne autour des aventures de Naruto et Sakura à la recherche de Sasuke, parti de Konoha pour acquérir de nouveaux pouvoirs, mais on y découvre aussi les objectifs de l'Akatsuki.","Mission à Kusa","Perte de contrôle","Kakashi étant à l'hôpital après avoir utilisé le « Kaléidoscope hypnotique du Sharingan » (« kamui » du mangekyō sharingan), Naruto et Sakura vont devoir se trouver deux nouveaux équipiers pour remplacer Kakashi et Sasuke. La kunoichi fait part de l'information de Sasori à sa maîtresse, qui décide d'y envoyer l'équipe au lieu indiqué par l'ex-ninja de Suna. En cherchant de nouveaux membres, Naruto retrouve l'équipe 8 (Shino, Kiba et Hinata), mais aucun des trois n'est intéressé. Il tombe ensuite sur Shikamaru et Chôji, mais un mystérieux ninja les attaque...","02:30:24","32 - 43","36_Naruto Shippuden_Perte de contrôle.webp"
"Naruto Shippuden","Yabaï puis Kaï - L'histoire de Naruto Shippuden se déroule deux ans et demie après le départ de Naruto à Konoha. On y retrouve tous les personnages plus mûrs et plus âgés.
L'intrigue tourne autour des aventures de Naruto et Sakura à la recherche de Sasuke, parti de Konoha pour acquérir de nouveaux pouvoirs, mais on y découvre aussi les objectifs de l'Akatsuki.","Mission à Kusa","Infiltration","Après être entré en contact avec Orochimaru et avoir transmis le message de son maître Danzô à ce dernier, Saï veut lui donner une enveloppe, mais Kabuto le plaque au sol. Le Sannin découvre la liste des membres de l'ANBU dans celle-ci, et accepte d'emmener le jeune homme à son repaire, sous la surveillance du clone de Yamato. Pendant ce temps, Sakura soigne Naruto, malgré sa blessure au bras. Elle a l'impression de se sentir inutile, mais le capitaine la rassure. Son équipier reprend ses esprits, mais ne se souvient de rien. Yamato explique ensuite à ses deux subordonnés, que Saï est parti avec Kabuto et Orochimaru, et leur révèle également l'identité de Danzô, ainsi que ses intentions. : détruire Konoha.","02:14:05","44 - 53","36_Naruto Shippuden_Infiltration.webp"
"Naruto Shippuden","Yabaï puis Kaï - L'histoire de Naruto Shippuden se déroule deux ans et demie après le départ de Naruto à Konoha. On y retrouve tous les personnages plus mûrs et plus âgés.
L'intrigue tourne autour des aventures de Naruto et Sakura à la recherche de Sasuke, parti de Konoha pour acquérir de nouveaux pouvoirs, mais on y découvre aussi les objectifs de l'Akatsuki.","Hidan & Kakuzu","Le Jugement Divin","Naruto fait un drôle de cauchemar, où il voit un temple se faire détruire par un monstre sanguinaire. Sakura surprend Saï à la bibliothèque, en train de lire des livres sur les relations humaines. Ils rejoignent plus tard Naruto, pour rendre visite à Kakashi à l'hôpital. Au courant des progrès de Sasuke, le jõnin a concocté un entraînement spécialement conçu pour Naruto, afin de l'aider à développer une technique plus puissante que l'« Orbe tourbillonnant ». L'équipe de Kakashi est invitée au restaurant par Asuma, et Saï fait connaissance avec Chôji et Ino. Pendant ce temps, quatre mystérieux ninjas pillent des tombes cachées...","02:25:57","54 - 56 + 72 - 80 + 112","36_Naruto Shippuden_Le Jugement Divin.webp"
"Naruto Shippuden","Yabaï puis Kaï - L'histoire de Naruto Shippuden se déroule deux ans et demie après le départ de Naruto à Konoha. On y retrouve tous les personnages plus mûrs et plus âgés.
L'intrigue tourne autour des aventures de Naruto et Sakura à la recherche de Sasuke, parti de Konoha pour acquérir de nouveaux pouvoirs, mais on y découvre aussi les objectifs de l'Akatsuki.","Hidan & Kakuzu","Le Génie de Shikamaru","Hidan et Kakuzu ont été rappelés par le leader de l'Akatsuki, afin que tous les membres extraient Nibi, le démon-chat à deux queues, du corps de Yugito. Pendant l'extraction, celui-ci révèle le véritable objectif de l'organisation : la conquête du monde. Rentrés au village, Izumo, Kotetsu et Shikamaru apprennent à Tsunade la mort d'Asuma. Après des jours de travail, Naruto réussit enfin à transformer la nature de son chakra tout en modifiant sa forme, aidé par deux clones afin de se répartir les tâches et complimenté par Kakashi pour sa prouesse.","01:38:00","81 - 89 + 92","36_Naruto Shippuden_Le Génie de Shikamaru.webp"
"Naruto Shippuden","Yabaï puis Kaï - L'histoire de Naruto Shippuden se déroule deux ans et demie après le départ de Naruto à Konoha. On y retrouve tous les personnages plus mûrs et plus âgés.
L'intrigue tourne autour des aventures de Naruto et Sakura à la recherche de Sasuke, parti de Konoha pour acquérir de nouveaux pouvoirs, mais on y découvre aussi les objectifs de l'Akatsuki.","Recherche d'Itachi","Rituel","Après des années d'attente, Orochimaru jubile : ses souffrances vont bientôt prendre fin, car il va pouvoir s'emparer du corps de Sasuke. Kabuto et lui discutent justement au sujet du frère cadet d'Itachi, de la rencontre jusqu'à son arrivée. À la grande surprise du Sannin, Sasuke s'attaque à lui, l'obligeant à dévoiler sa véritable nature : un grand serpent aux écailles blanches.","01:19:00","90 + 113 - 118 + 121","36_Naruto Shippuden_Rituel.webp"
"Naruto Shippuden","Yabaï puis Kaï - L'histoire de Naruto Shippuden se déroule deux ans et demie après le départ de Naruto à Konoha. On y retrouve tous les personnages plus mûrs et plus âgés.
L'intrigue tourne autour des aventures de Naruto et Sakura à la recherche de Sasuke, parti de Konoha pour acquérir de nouveaux pouvoirs, mais on y découvre aussi les objectifs de l'Akatsuki.","Recherche d'Itachi","Le Héros au Sharingan","L'histoire se passe 10 ans auparavant, lors de la 3e grande guerre du monde ninja. Kakashi est un jeune homme tout juste promu jōnin, qui fait équipe avec ses compagnons Lin et Obito, sous les ordres de Minato Namikaze, futur 4e Hokage. Du fait du manque d'effectif, Kakashi est amené à mener ses compagnons sur une mission difficile. Juste avant de se séparer de leur sensei requis pour une autre mission, ils rencontrent un éclaireur ennemi, sur lequel Kakashi teste sa toute nouvelle technique, les Mille oiseaux, mais il manque de se faire tuer. Minato le sauve et tue le ninja ennemi, lui demandant de ne pas utiliser cette technique qui l'aveugle et l'empêche de voir les mouvements ennemis. La nuit qui suit, Minato explique à Obito comment le père de Kakashi, un ninja de génie, s'est suicidé des suites d'une disgrâce, parce qu'il n'avait pas suivi la règle faisant passer la réussite de la mission avant la vie de ses coéquipiers. C'est pourquoi Kakashi est si attaché aux règles et si dur avec Obito. Le lendemain, Lin est enlevé par les ninjas ennemis et Kakashi décide de poursuivre la mission sans elle. Furieux, Obito part chercher Lin seul.","00:41:42","119 - 120","36_Naruto Shippuden_Le Héros au Sharingan.webp"
"Naruto Shippuden","Yabaï puis Kaï - L'histoire de Naruto Shippuden se déroule deux ans et demie après le départ de Naruto à Konoha. On y retrouve tous les personnages plus mûrs et plus âgés.
L'intrigue tourne autour des aventures de Naruto et Sakura à la recherche de Sasuke, parti de Konoha pour acquérir de nouveaux pouvoirs, mais on y découvre aussi les objectifs de l'Akatsuki.","Recherche d'Itachi","L'Art Ultime","Pendant que Naruto et les autres partent avec les chiens ninjas de Kakashi, Hebi s'éparpille pour rechercher des informations sur Itachi. Sakura passe à côté de Karin alors que Hinata, Yamato et Naruto rencontrent Kabuto qui leur donne un livre avec des informations sur l'Akatsuki. Il révèle alors qu'il a transplanté une partie du corps d'Orochimaru en lui. Ailleurs, Sasuke est confronté par Tobi et Deidara et se prépare à livrer bataille contre eux.","01:24:25","122 - 126 + 128 - 130 + 134","36_Naruto Shippuden_L_Art Ultime.webp"
"Naruto Shippuden","Yabaï puis Kaï - L'histoire de Naruto Shippuden se déroule deux ans et demie après le départ de Naruto à Konoha. On y retrouve tous les personnages plus mûrs et plus âgés.
L'intrigue tourne autour des aventures de Naruto et Sakura à la recherche de Sasuke, parti de Konoha pour acquérir de nouveaux pouvoirs, mais on y découvre aussi les objectifs de l'Akatsuki.","Recherche d'Itachi","L'enfant de la prophétie","Alors qu’il doit faire face à diverses invocations géantes, Jiraya se demande pourquoi Nagato, capable d’utiliser les six formes élémentaires de chakra et de maîtriser toutes les techniques, n’utilise que les invocations. Il parvient finalement à passer en mode ermite et à invoquer Fukasaku et Shima. Jiraya explique la situation aux deux grands ermites du Mont Myôboku ; Shima repère le caméléon et l’attrape, tandis que Fukusaku le coupe en deux. Jiraya se remémore la prophétie que lui a faite l’Oogama Sennin dans sa jeunesse : un de ses élèves sera l’enfant destiné à établir la paix dans le monde et Jiraya devra le guider dans cette voie, ayant à faire un jour un choix difficile ; il se demande si Nagato est cet élu et si l’heure de son choix est venue. Chikûshodo invoque Ningendô et Gakidô ; tous deux ont également le Rinnegan…","01:37:43","128 - 135","36_Naruto Shippuden_L_enfant de la prophétie.webp"
